from,to
DE-0219,LAVL
DE-0219,TR-0019
DE-0219,LGAT
DE-0219,NL-0031
DE-0219,USDS
DE-0219,URSS
DE-0219,GR-0019
DE-0219,BY-0012
DE-0219,DE-0313
DE-0219,GR-0001
DE-0219,USII
DE-0219,LMML
DE-0219,EHGR
DE-0219,LTBU
DE-0219,EHHV
DE-0219,BY-0039
LKSU,RU-0922
LKSU,CZ-0153
LKSU,CZ-0185
LKSU,EHWO
LKSU,LKHD
LKSU,BY-0045
LKSU,X-VIE
LKSU,RU-0494
LKSU,LTBU
LKSU,GR-0019
LKSU,EDDR
LKSU,CZ-0192
LKSU,EHHV
LKSU,LTFM
LKSU,LGAV
LKSU,RU-0485
RU-0922,LOLC
RU-0922,LKSU
RU-0922,LGAT
RU-0922,CZ-0079
RU-0922,CZ-0126
RU-0922,CZ-0185
RU-0922,GR-0056
RU-0922,EHVB
RU-0922,EHSE
RU-0922,LGNX
RU-0922,BY-0022
RU-0922,RS-0031
RU-0922,AT-0002
RU-0922,GR-0001
RU-0922,BY-0006
RU-0922,LGST
RU-0922,LYCA
RU-0922,RS-0023
RU-0922,LGML
RU-0922,XK-0005
LKCM,LAKO
LKCM,BY-0045
LKCM,LAKV
LKCM,LOGG
LKCM,LGNX
LKCM,UUBC
LKCM,EHSE
LKCM,LOLG
LKCM,EDAZ
LKCM,NL-0031
LKCM,LASR
X-VIE,RU-0639
X-VIE,LAGJ
X-VIE,LKVP
X-VIE,LKSU
X-VIE,LTBA
X-VIE,MT-0006
X-VIE,XK-0003
X-VIE,LGAV
X-VIE,UMII
X-VIE,BY-0041
X-VIE,MT-0002
X-VIE,TR-0028
X-VIE,LOAD
X-VIE,NL-0041
X-VIE,LASK
X-VIE,NL-0050
BY-0016,LOAT
BY-0016,RS-0018
BY-0016,NL-0070
BY-0016,RS-0031
BY-0016,LOAD
BY-0016,GR-0056
BY-0016,LMML
BY-0016,BY-0019
BY-0016,NL-0031
RU-0485,LYCA
RU-0485,NL-0041
RU-0485,AL-0010
RU-0485,EDFB
RU-0485,CZ-0153
RU-0485,BY-0001
RU-0485,LAKU
RU-0485,LOWG
RU-0485,LTBU
RU-0485,TR-0030
RU-0485,LKSU
RU-0485,EDRN
BY-0015,RS-0008
BY-0015,CZ-0057
BY-0015,LYVR
BY-0015,AL-0002
BY-0015,LKMB
BY-0015,LGRD
BY-0015,LYPN
BY-0015,UMNM
BY-0015,ULBM
BY-0015,NL-0026
BY-0015,CZ-0122
BY-0015,LGAT
BY-0015,CZ-0145
BY-0015,LOLC
BY-0015,EHWO
CZ-0073,NL-0067
CZ-0073,LGNX
CZ-0073,TR-0030
CZ-0073,UMMR
CZ-0073,USII
CZ-0073,LATI
CZ-0073,MT-0004
CZ-0073,LGRD
CZ-0073,LYKA
CZ-0073,RU-0372
CZ-0073,LYBE
CZ-0073,MT-0006
CZ-0073,XK-0001
CZ-0073,MT-0001
CZ-0073,BY-0045
CZ-0073,RU-0489
CZ-0073,LOWG
CZ-0073,RS-0011
CZ-0073,LOIA
CZ-0073,AL-0010
RU-0489,AL-0010
RU-0489,EHSE
RU-0489,RU-0708
RU-0489,LAGJ
RU-0489,NL-0041
RU-0489,LGPA
