from,to
OJHR,GUSB
OJHR,OPMR
OJHR,LG55
OJHR,DIFK
OJHR,NFMA
OJHR,LK-0004
OJHR,MM-0005
OJHR,OPKH
OJHR,DFER
OJHR,VDSV
OJHR,AM-0006
OJHR,OYRN
OJHR,UTSL
OJHR,SMVG
OJHR,PH-0020
OJHR,MK-0011
OJHR,VTCR
OJHR,GGCF
OJHR,IQ-0052
OJHR,PK-GRT
OJHR,SPDR
OJHR,ES-0209
OJHR,NFNB
OJHR,IQ-0029
OJHR,EHGR
OJHR,YE-0003
OJHR,VEKJ
OJHR,OYBI
OJHR,LW71
OJHR,AF-0001
OJHR,SMJA
OJHR,DTTA
OJHR,VA1J
OJHR,PK-0049
OJHR,PY-0041
OJHR,UZ-0152
ES-0048,NCAI
ES-0048,TH-0004
ES-0048,ST-0001
ES-0048,NG-0008
ES-0048,AF-0001
ES-0048,VYBM
ES-0048,PS-0002
ES-0048,FXMM
ES-0048,DFOR
ES-0048,GQ-0001
ES-0048,VCCA
ES-0048,GB-0887
ES-0048,NCAT
ES-0048,PGP
ES-0048,HE30
ES-0048,BIAE
ES-0048,SMDK
ES-0048,MT-0001
ES-0048,DZ-0017
ES-0048,NSFQ
ES-0048,KH-0002
ES-0048,DRRU
ES-0048,PK-GRT
ES-0048,BISP
ES-0048,GQNJ
ES-0048,IN-0079
ES-0048,NCMN
ES-0048,PH-0320
ES-0048,LFYT
ES-0048,GB-1015
ES-0048,OP21
ES-0048,PT-0147
ES-0048,JO-0015
ES-0048,BW-0013
ES-0048,EH-0020
ES-0048,ES-0209
ES-0048,LGIO
ES-0048,FHSH
GQNI,SYCP
GQNI,VTSE
GQNI,SMDA
GQNI,LFRW
GQNI,SMVG
GQNI,MDV
GQNI,FDMH
GQNI,HRZA
GQNI,NFNV
GQNI,TH-0012
GQNI,AD-0002
GQNI,DTMB
GQNI,LFRN
GQNI,FJDG
GQNI,VOTV
GQNI,HHAG
GQNI,SK-235
GQNI,PH-0187
GQNI,DTTR
GQNI,SPEQ
GQNI,FDTM
GQNI,GUMA
GQNI,PT-0085
GQNI,OJHF
GQNI,ES-0061
GQNI,MK-0014
GQNI,LPMU
GQNI,SKUB
GQNI,LG55
GQNI,DNFB
GQNI,GULB
GQNI,EG-0004
GQNI,DIBI
GQNI,VDBG
GQNJ,IQ-0049
GQNJ,DIFK
GQNJ,SYMR
GQNJ,VTED
GQNJ,AF13
