from,to
OJHR,KP-0072
OJHR,CH-0019
OJHR,FMNN
OJHR,TZ-0119
OJHR,FEFR
OJHR,FQPO
OJHR,FMEE
OJHR,MD-0003
OJHR,EBBX
OJHR,WBGK
OJHR,EBNO
OJHR,ZA-0158
OJHR,EYAL
OJHR,MZ-0035
OJHR,OMSJ
OJHR,LK-0004
OJHR,UM-0001
OJHR,VVPR
OJHR,DGLN
OJHR,FJDG
OJHR,KZ-0068
OJHR,MZ-0009
OJHR,MZ-0004
OJHR,OALP
OJHR,SPRM
OJHR,US-0009
OJHR,LSZD
OJHR,GVAC
OJHR,ZMOT
OJHR,BISN
OJHR,YSNF
OJHR,BIGJ
OJHR,ID-KCI
OJHR,HL57
OJHR,AGGK
OJHR,FDNS
OJHR,VVGL
OJHR,IT-0359
OJHR,KR-0017
OJHR,DGLE
OJHR,CH-0002
OJHR,WPDL
OJHR,TAV
VIV,US-0009
VIV,VREI
VIV,IL-0005
VIV,AGGB
VIV,EISG
VIV,BW-0013
VIV,BW-0020
VIV,KP-0001
VIV,FDTM
VIV,KP-0013
VIV,OJMF
VIV,AHY
VIV,MZ-0004
VIV,ZA-0308
VIV,PBAR
VIV,SEBW
VIV,GVSF
VIV,AF04
VIV,HHSB
VIV,WPMN
VIV,SPOR
VIV,GDA
VIV,IT-0359
VIV,MV-0007
VIV,HHBA
VIV,GGBU
VIV,BISP
VIV,XK-0002
VIV,FXTB
VIV,VE-0205
VIV,FOON
VIV,FEFF
VIV,LINL
VIV,MY-GTK
VIV,FQPO
VIV,MY-0022
VIV,UAAR
BE-0037,HLZU
BE-0037,AF13
BE-0037,HL68
BE-0037,RK36
BE-0037,BIDV
BE-0037,VE-0205
BE-0037,US-0884
BE-0037,AGGM
BE-0037,SE09
BE-0037,EYVK
BE-0037,FBMU
BE-0037,GGGB
BE-0037,AE-0107
BE-0037,SLCP
BE-0037,FXMS
BE-0037,AF-0005
BE-0037,EYKS
BE-0037,ZMHH
BE-0037,HHAS
BE-0037,QA-0009
BE-0037,GF-0004
BE-0037,EBSH
BE-0037,DGTK
BE-0037,FMCN
BE-0037,BIBD
BE-0037,FMMT
BE-0037,VE-0216
BE-0037,FMCI
BE-0037,SVPG
BE-0037,WBGM
BE-0037,FMMY
BE-0037,WBKU
BE-0037,VGJR
BE-0037,FOGR
BE-0037,TBE
BE-0037,SVHH
BE-0037,SLUC
MY-0016,SEKH
MY-0016,EBGL
MY-0016,LK-0004
MY-0016,GA-0008
MY-0016,FMMG
MY-0016,HHSB
MY-0016,FMNS
MY-0016,FXSK
MY-0016,SEBW
MY-0016,ID-KCI
MY-0016,FMSF
MY-0016,AHY
MY-0016,HL68
MY-0016,BIHI
MY-0016,SLCP
MY-0016,SLJV
MY-0016,RK22
MY-0016,ZA-0158
MY-0016,FOGK
MY-0016,SPDR
MY-0016,EISG
MY-0016,OT62
MY-0016,KZ-0064
MY-0016,SLSS
MY-0016,WBGM
MY-0016,XK-0005
MY-0016,SLNV
MY-0016,IT-0429
MY-0016,KEZ
MY-0016,YNRB
MY-0016,FBCM
MY-0016,KI-0001
MY-0016,WBGO
MY-0016,FBMU
MY-0016,SLPW
