from,to
ES-0048,LA-0001
ES-0048,OPMT
ES-0048,SY-0023
ES-0048,GQNM
ES-0048,BG-0017
ES-0048,JP-1017
ES-0048,SEEZ
ES-0048,NZ-0016
ES-0048,FOGE
ES-0048,HDTJ
ES-0048,PK-0024
ES-0048,RS-0006
ES-0048,DJ-0002
ES-0048,SY-0027
ES-0048,RS-0005
ES-0048,SB-VIU
ES-0048,BO-BVL
ES-0048,JP-0395
ES-0048,NFNB
ES-0048,LBBO
ES-0048,NZWV
ES-0048,TH-0032
ES-0048,AL-0010
ES-0048,SE13
ES-0048,SI-0019
ES-0048,NZ-0079
ES-0048,SI-0022
ES-0048,DFCY
ES-0048,SK-0008
ES-0048,TF-0001
ES-0048,OPBR
ES-0048,LASR
ES-0048,EBFD
ES-0048,FOON
ES-0048,IE-0001
ES-0048,KW-0016
ES-0048,ES-0084
ES-0048,MT-0002
ES-0048,UTSR
ES-0048,WPVQ
ES-0048,NZOH
ES-0048,JP-1950
ES-0048,OS69
ES-0048,VLSN
BE-0037,GR-0011
BE-0037,SK-0075
BE-0037,EFPU
BE-0037,GA-GAX
BE-0037,SEJE
BE-0037,FK-0027
BE-0037,UZ-0116
BE-0037,LASK
BE-0037,HTUV
BE-0037,NTGH
BE-0037,TJ-0001
BE-0037,FR-0314
BE-0037,SPOA
BE-0037,LGAV
BE-0037,UGSS
BE-0037,SK-0015
BE-0037,UTDK
BE-0037,AO-0005
BE-0037,LT-0015
BE-0037,NWWL
BE-0037,MY-0022
BE-0037,NGTU
BE-0037,FI-0002
BE-0037,WBKP
BE-0037,NWWI
BE-0037,UZ-0096
BE-0037,EYAL
BE-0037,VTSE
BE-0037,FNWK
BE-0037,HDAM
BE-0037,LB13
BE-0037,HU-0042
BE-0037,VREI
BE-0037,ZMAT
BE-0037,TL-0002
BE-0037,FMZJ
BE-0037,ET-0001
BE-0037,SPSI
BE-0037,PK-GRT
BE-0037,FOGF
BE-0037,NZOH
BE-0037,ZMDZ
BE-0037,FHSH
BE-0037,HU-0019
BE-0037,VE-0205
BE-0037,SLBS
GQNI,DFET
GQNI,UGSB
GQNI,RS-0021
GQNI,DFEK
GQNI,RS-0005
GQNI,NZ-0016
GQNI,VLHS
GQNI,NZMO
GQNI,DTKA
GQNI,SEKH
GQNI,HDAS
GQNI,MT-0001
GQNI,EISG
GQNI,NGON
GQNI,RJCC
GQNI,ID-KCI
GQNI,LAGJ
GQNI,WBGM
GQNI,MT-0002
GQNI,IE-0024
GQNI,UGSS
GQNI,GE-0015
GQNI,FBCM
GQNI,EYAL
GQNI,AGOB
GQNI,SVPG
GQNI,BW-0020
GQNI,FK-0033
GQNI,FI-0002
GQNI,MV-0008
GQNJ,LZSV
GQNJ,AO-0048
GQNJ,LA-0001
GQNJ,ID-0176
GQNJ,OJJR
GQNJ,ZMBH
GQNJ,NFNB
GQNJ,SLBS
GQNJ,OS61
GQNJ,SPEQ
GQNJ,NTGH
GQNJ,VLPS
GQNJ,DFEK
GQNJ,OPBR
GQNJ,HABD
GQNJ,LJPZ
GQNJ,GQPA
GQNJ,HU-0042
GQNJ,ZMUL
GQNJ,BW-0020
GQNJ,LG55
GQNJ,SK-0012
GQNJ,DTMB
GQNJ,OS72
GQNJ,NTGA
GQNJ,SK-0008
GQNJ,DTTA
GQNJ,HDCH
GQNJ,VTPT
