from,to
OAFZ,DBK
OAFZ,KZ-0018
OAFZ,UT1C
OAFZ,OASD
OAFZ,IQ-0036
OAFZ,DBU
OAFZ,ID-0167
OAFZ,RKTE
OAFZ,VNNG
OAFZ,LTAR
OAFZ,IQ-0035
OAFZ,SG-0003
OAFZ,OANL
OAFZ,LTBR
OAFZ,KR-0064
OAFZ,AF-0001
OAFZ,OAMN
HETB,LTAS
HETB,KZ-0026
HETB,RK95
HETB,DBK
HETB,VNPK
HETB,ID-0088
HETB,KR-0611
HETB,OATQ
HETB,AF-0001
HETB,OM-0010
HETB,UASS
HETB,RKPE
HETB,VNBP
HETB,WIDS
HETB,OAYW
HETB,OAA
HK-0063,ID-0266
HK-0063,KZ-0009
HK-0063,OAYW
HK-0063,OM-0010
HK-0063,TJ-UT44
HK-0063,VCCW
HK-0063,VCCB
HK-0063,OM-0027
HK-0063,OALP
HK-0063,VCCC
HK-0063,UAUU
HK-0063,AFK
HK-0063,VHHX
HK-0063,LTCE
HK-0063,KEZ
HK-0063,TJ-0003
HK-0063,KR-0611
HK-0063,WSSS
HK-0063,TJ-0008
UAUU,WSAT
UAUU,WI1G
UAUU,KZ-0031
UAUU,WAFM
UAUU,KZ-0068
UAUU,IQ-0005
UAUU,AFK
UAUU,VCCW
UAUU,LTAJ
UAUU,VNSB
UAUU,TR-0215
UAUU,VNMG
UAUU,HK-0063
UAUU,OM-0006
UAUU,LTAD
UAUU,LTBL
UAUU,TJ-0002
UAUU,VHHX
UAUU,LTAK
UAUU,KZ-0018
UAUU,VNKL
UAUU,VNPK
UAUU,SG-0002
OOSA,LTCE
OOSA,VHHX
OOSA,VNTR
OOSA,OAMN
OOSA,UTDL
OOSA,TJ-UT46
OOSA,IQ-0047
OOSA,VNTH
OOSA,VCCN
OOSA,KZ-0070
OOSA,AF04
OOSA,TR-0018
OOSA,VNNG
OOSA,VNSB
OOSA,VNGK
OOSA,DBU
OOSA,IQ-0023
OOSA,VCCB
OOSH,HK-0079
OOSH,HE46
OOSH,IQ-0013
OOSH,IQ-0037
OOSH,TJ-UT46
OOSH,VCCC
OOSH,LTCE
OOSH,OM-0027
OOSH,NP-MWP
OOSH,TJ-0008
OOSH,VCCS
OOSH,TR-0022
OOSH,KZ-0026
OOSH,NP-0015
OOSH,HBT
OOSH,TJ-0003
ID-0077,WAWW
ID-0077,KZ-0068
ID-0077,KW-0016
ID-0077,WSSL
ID-0077,VNDR
ID-0077,OM-0009
ID-0077,OOTH
ID-0077,KZ-0018
ID-0077,LTBC
ID-0077,KZ-0026
ID-0077,ORTL
ID-0077,LTCH
ID-0077,HK-0079
ID-0077,AFK
ID-0077,ORAT
RKRN,KEZ
RKRN,NP-0015
RKRN,TJ-UT45
RKRN,TJ-0008
RKRN,OAQN
RKRN,OOII
RKRN,HK-0008
RKRN,OAGZ
RKRN,SG-0002
RKRN,WIIK
RKRN,KZ-0018
RKRN,VNCG
RKRN,DBK
RKRN,KR-0057
RKRN,OM-0004
WSSS,ID-0062
WSSS,TR-0031
WSSS,BJQ
WSSS,IQ-0011
WSSS,KW-0016
WSSS,UATR
WSSS,OAA
WSSS,HEAR
WSSS,KZ-0018
WSSS,LTFG
WSSS,RKTE
WSSS,TJ-0009
WSSS,KR-0611
WSSS,HK-0063
WAPC,RKPC
WAPC,OOFD
WAPC,ORAT
WAPC,VNBP
WAPC,OKAS
WAPC,VNDG
WAPC,KZ-0019
WAPC,VCCC
WAPC,IQ-0013
RK25,ID-0083
RK25,TJ-0001
RK25,VNDG
RK25,KZ-0078
RK25,UT1B
RK25,OANL
RK25,VCCN
RK25,OASA
RK25,ORNI
RK25,KZ-0067
RK25,VCCC
RK25,IQ-0010
RK25,VCCJ
RK25,UTDT
RK25,TR-0031
KZ-0114,NP-MWP
KZ-0114,HEGR
KZ-0114,AF-0006
KZ-0114,OKDI
KZ-0114,DBU
KZ-0114,OALP
KZ-0114,VCCW
KZ-0114,RKPE
KZ-0114,VNMG
KZ-0114,KZ-0031
KZ-0114,OM-0009
KZ-0114,AF-0005
KZ-0114,TR-0031
KZ-0114,WIDS
KZ-0114,KZ-0009
DWO,TJ-0005
DWO,DBK
DWO,ID-0085
DWO,KW-0016
DWO,TJ-0001
DWO,VCCS
DWO,HK-0079
DWO,OAYW
DWO,ID-0062
DWO,LK-0002
DWO,ORAT
DWO,HK-0002
DWO,OM-0007
WSSL,WSAP
WSSL,HBT
WSSL,ID-0077
WSSL,SG-0005
WSSL,IQ-0035
WSSL,OM-0020
WSSL,VNTH
WSSL,OM-0036
WSSL,OALP
WSSL,AF04
WSSL,WABC
WSSL,UAIT
WSSL,LTAK
WSSL,ID-0139
WSSL,IQ-0010
WSSL,AF-0006
WSSL,RK95
WSSL,OM-0006
WSSL,KZ-0012
WSSL,IQ-0029
WSSL,ORTL
WSSL,KR-0057
TR-0016,TR-0080
TR-0016,RKPE
TR-0016,DBU
TR-0016,HBT
TR-0016,HK-0081
TR-0016,OM-0009
TR-0016,OOII
TR-0016,ID-0139
TR-0016,VHHH
TR-0016,KZ-0067
TR-0016,VCCJ
TR-0016,LTCE
TR-0016,VHSK
TR-0016,KZ-0030
TR-0016,VNSB
HE46,OOSH
HE46,LTBT
HE46,VNBP
HE46,KZ-0030
HE46,IQ-0052
HE46,IQ-0013
HE46,OOIZ
HE46,TJ-0005
HE46,VNNG
HE46,OALP
HE46,VCCJ
HE46,VNSL
HE46,VNKL
HE46,WAWW
WIOS,RKUL
WIOS,IQ-0035
WIOS,OASA
WIOS,OM-0009
WIOS,VNSL
WIOS,VNMN
WIOS,IQ-0037
WIOS,UAII
WIOS,SG-0003
WIOS,OANL
WIOS,VCCB
WIOS,KZ-0030
WIOS,KZ-0083
RK22,KDZ
RK22,AF04
RK22,KZ-0067
RK22,HK-0099
RK22,IQ-0013
RK22,OKBK
RK22,OOII
RK22,WSAT
RK22,KDW
RK22,IQ-0055
RK22,DBU
RK22,TR-0031
RK22,OM-0020
KDW,VNNG
KDW,LTFH
KDW,ORTL
KDW,OM-0004
KDW,OOTH
KDW,VCCJ
KDW,ID-0062
KDW,ID-0176
KDW,LTFG
KDW,KZ-0012
KDW,ID-0139
KDW,KZ-0026
KDW,TJ-0009
KDW,RK22
KDW,LK-0002
KDW,VNGK
KDW,OM-0006
KDW,VHHX
KDW,LK-0006
TR-0018,OM-0007
TR-0018,TR-0078
TR-0018,OM-0006
TR-0018,LTAD
TR-0018,RK17
TR-0018,VCCJ
TR-0018,VHHX
TR-0018,ID-0266
TR-0018,LTBC
TR-0018,DBK
TR-0018,TJ-0008
TR-0018,VNSL
TR-0018,VNRC
TR-0018,TJ-UT46
TR-0018,OOSA
TR-0018,TR-0215
TR-0018,Z19M
TR-0018,LTFH
HK-0079,AF04
HK-0079,OOSH
HK-0079,KR-0057
HK-0079,TJ-0005
HK-0079,ID-0011
HK-0079,DWO
HK-0079,OANL
HK-0079,KZ-0083
HK-0079,IQ-0055
HK-0079,UASS
HK-0079,VNSB
HK-0079,ID-0077
HK-0079,OASD
HK-0079,ID-0266
HK-0079,OOII
KDZ,VNBJ
KDZ,RK22
KDZ,OOIZ
KDZ,DBK
KDZ,KZ-0019
KDZ,ORNI
KDZ,DGM
KDZ,SG-0002
KDZ,UT1B
KDZ,VNTP
KDZ,IQ-0006
KDZ,VNRC
TJ-UT44,VCCC
TJ-UT44,WAFM
TJ-UT44,OM-0023
TJ-UT44,ID-0088
TJ-UT44,HK-0063
TJ-UT44,OM-0007
TJ-UT44,KZ-0031
TJ-UT44,OOJA
TJ-UT44,KZ-0051
TJ-UT44,OOFD
TJ-UT44,OAMN
TJ-UT44,KR-0611
TJ-UT44,RKTI
TJ-UT44,WALT
WSAP,OOFD
WSAP,WSSL
WSAP,UT1A
WSAP,KZ-0070
WSAP,ORTL
WSAP,OM-0004
WSAP,ID-0062
WSAP,VHHH
WSAP,HK-0002
WSAP,OAGZ
WSAP,RKTI
WSAP,RK39
WSAP,VCCJ
WSAP,LTBC
WSAP,OAFR
TJ-UT45,IQ-0019
TJ-UT45,AF13
TJ-UT45,ID-0062
TJ-UT45,RKRN
TJ-UT45,VNMN
TJ-UT45,ORAT
TJ-UT45,OM-0007
TJ-UT45,OO42
TJ-UT45,KZ-0012
TJ-UT45,RKPC
TJ-UT45,UAII
TJ-UT45,LTCE
TJ-UT45,VNNG
TJ-UT45,KZ-0070
TR-0022,ID-0011
TR-0022,AF-0005
TR-0022,IQ-0037
TR-0022,OAMN
TR-0022,ORAT
TR-0022,OM-0004
TR-0022,OAA
TR-0022,LK-0003
TR-0022,WSAC
TR-0022,OOSH
TR-0022,IQ-0049
KZ-0012,OAQN
KZ-0012,NP-MWP
KZ-0012,OM-0010
KZ-0012,OO42
KZ-0012,VNGK
KZ-0012,ID-0266
KZ-0012,RKTI
KZ-0012,KZ-0106
KZ-0012,TJ-UT45
KZ-0012,TJ-0008
KZ-0012,KDW
KZ-0012,OM-0020
KZ-0012,VHHX
KZ-0012,VCCN
KZ-0012,RKUL
KZ-0012,WSSL
KZ-0012,UAII
KZ-0012,LK-0004
KZ-0012,KR-0064
KZ-0012,VNTH
WSAT,HBT
WSAT,UAUU
WSAT,TR-0078
WSAT,IQ-0047
WSAT,KR-0611
WSAT,KZ-0018
WSAT,ORNI
WSAT,OM-0036
WSAT,RK22
WSAT,WAFM
WSAG,VHHH
WSAG,IQ-0010
WSAG,VNTJ
WSAG,RK39
WSAG,KZ-0026
WSAG,AF-0015
WSAG,ID-0083
WSAG,ID-0266
WSAG,RKUL
WSAG,LTCE
WSAG,TJ-0004
WSAG,AFK
WSAG,VNKL
WSAG,OANL
WSAG,KZ-0068
WSAG,OKAS
DGM,OASD
DGM,LK-0003
DGM,OM-0004
DGM,ORTL
DGM,TR-0080
DGM,AF13
DGM,KDZ
DGM,VNTP
DGM,OOII
DGM,LTAJ
ID-0083,OKDI
ID-0083,RK25
ID-0083,WSAG
ID-0083,HK-0008
ID-0083,WASB
ID-0083,IQ-0023
ID-0083,OOFD
ID-0083,LK-0004
ID-0083,VCCW
ID-0083,HBT
ID-0083,LTAK
ID-0083,IQ-0037
ID-0083,IQ-0029
ID-0083,IQ-0005
ID-0083,LTFG
ID-0083,UT1C
ID-0083,RK82
TJ-UT46,RK36
TJ-UT46,VNMN
TJ-UT46,KR-0064
TJ-UT46,OOSH
TJ-UT46,VCCC
TJ-UT46,VNBP
TJ-UT46,KZ-0018
TJ-UT46,OOSA
TJ-UT46,NP-0015
TJ-UT46,ID-0139
TJ-UT46,LTBC
TJ-UT46,TR-0018
TJ-UT46,DBU
TJ-UT46,WAWW
TJ-UT46,VNTH
UATR,KZ-0083
UATR,Z19M
UATR,AF-0006
UATR,WSSS
UATR,IQ-0049
UATR,OM-0020
UATR,LTBL
UATR,WASB
UATR,OOKB
UATR,OM-0007
ID-0085,KZ-0051
ID-0085,AF07
ID-0085,DWO
ID-0085,TJ-0001
ID-0085,DBK
ID-0085,HEGR
ID-0085,UT1B
ID-0085,TJ-0002
ID-0085,AF-0015
ID-0085,VNKL
ID-0085,HK-0001
ID-0085,OOIZ
ID-0085,TR-0080
ID-0085,KZ-0030
ID-0085,OASA
ID-0085,KR-0057
ID-0085,LTBT
ID-0085,TR-0031
ID-0085,UTDK
ID-0085,VCCA
ID-0085,VHSK
ID-0085,RK36
VNKL,DBU
VNKL,VNNG
VNKL,VHSK
VNKL,ID-0085
VNKL,VNCG
VNKL,OANL
VNKL,RKPC
VNKL,VNTJ
VNKL,WSAG
VNKL,OALP
VNKL,TJ-0007
VNKL,HE46
VNKL,IQ-0049
VNKL,UAUU
ID-0088,IQ-0055
ID-0088,VNDG
ID-0088,HETB
ID-0088,HK-0001
ID-0088,TJ-0006
ID-0088,LK-0002
ID-0088,TJ-UT44
ID-0088,TR-0078
ID-0088,IQ-0023
ID-0088,RK95
ID-0088,RK82
ID-0088,OOMS
ID-0088,LK-0003
ID-0088,KZ-0030
ID-0088,VNTH
RK17,TJ-0008
RK17,IQ-0052
RK17,OASD
RK17,LTAD
RK17,TR-0018
RK17,WABC
RK17,AF13
RK17,DBU
RK17,TJ-0007
RK17,HBT
RK17,KR-0621
RK17,LK-0003
RK17,NP-MWP
RK17,OM-0010
RK17,VCCS
RK17,OKAS
RK17,HEGR
RK17,IQ-0037
OAFR,OM-0020
OAFR,VHHH
OAFR,KZ-0067
OAFR,OAHR
OAFR,HK-0002
OAFR,VNMG
OAFR,TJ-0001
OAFR,WSAC
OAFR,WSAP
KZ-0009,HK-0063
KZ-0009,TR-0215
KZ-0009,VCCS
KZ-0009,WAFM
KZ-0009,RKUL
KZ-0009,VNMN
KZ-0009,OM-0020
KZ-0009,KZ-0068
KZ-0009,IQ-0001
KZ-0009,KZ-0114
KZ-0009,ORTL
KZ-0009,OM-0036
KZ-0009,ID-0176
KZ-0009,UAII
KZ-0009,OM-0010
KZ-0009,VCCN
KEZ,RK82
KEZ,RKRN
KEZ,OAGZ
KEZ,NP-MWP
KEZ,IQ-0010
KEZ,OKAS
KEZ,OAYW
KEZ,RKPU
KEZ,OOMS
KEZ,IQ-0011
KEZ,KR-0611
KEZ,SG-0004
KEZ,HK-0002
KEZ,WI1G
KEZ,EG-0004
KEZ,KZ-0078
KEZ,IQ-0036
KEZ,KZ-0026
KEZ,TJ-0006
KEZ,HK-0063
KEZ,LTAJ
KEZ,HEAR
TR-0031,WSSS
TR-0031,SG-0002
TR-0031,VNSB
TR-0031,WALT
TR-0031,LTFG
TR-0031,VNBJ
TR-0031,OKAS
TR-0031,VCCW
TR-0031,KZ-0018
TR-0031,KZ-0019
TR-0031,KZ-0114
TR-0031,LTBT
TR-0031,IQ-0005
TR-0031,UTDK
TR-0031,WSAC
TR-0031,ID-0085
TR-0031,VHHH
TR-0031,RK95
TR-0031,RK22
TR-0031,RK25
RKTI,NP-0015
RKTI,IQ-0055
RKTI,VNBJ
RKTI,TJ-0005
RKTI,KZ-0012
RKTI,VNSL
RKTI,WSAP
RKTI,TJ-UT44
RKTI,OAQN
RKTI,HK-0099
RKTI,SG-0003
RKTI,KZ-0019
RKTI,LTAK
RKTI,VCCC
RKTI,ORAT
RKTI,BJQ
RKTI,YPCC
RKTI,RK95
RKTI,OOII
RKTE,UTDD
RKTE,UT1A
RKTE,QJP
RKTE,OAMN
RKTE,OAFZ
RKTE,OM-0009
RKTE,IQ-0055
RKTE,KR-0017
RKTE,IQ-0035
RKTE,ID-0167
RKTE,OALP
RKTE,OKBK
RKTE,HEGR
RKTE,OOMS
RKTE,LTCE
RKTE,WSSS
RKTE,VNSB
RKTE,LTBC
IQ-0052,RK17
IQ-0052,IQ-0036
IQ-0052,SG-0004
IQ-0052,OM-0027
IQ-0052,VCCW
IQ-0052,KR-0017
IQ-0052,HE46
IQ-0052,LTAD
IQ-0052,KZ-0067
IQ-0052,ID-0139
IQ-0052,HK-0081
IQ-0052,VNTR
IQ-0052,TJ-0009
IQ-0052,AF-0015
ID-0176,KZ-0026
ID-0176,KZ-0051
ID-0176,LTCH
ID-0176,TJ-0004
ID-0176,IQ-0011
ID-0176,LK-0002
ID-0176,OM-0023
ID-0176,KDW
ID-0176,VNPK
ID-0176,WIDS
ID-0176,VNSL
ID-0176,AF-0015
ID-0176,KZ-0009
ID-0176,IQ-0019
ID-0176,YPCC
ID-0176,HK-0002
OAYW,HK-0002
OAYW,HK-0099
OAYW,VNTJ
OAYW,HK-0063
OAYW,OAGZ
OAYW,KZ-0030
OAYW,KEZ
OAYW,SG-0005
OAYW,OM-0010
OAYW,DWO
OAYW,SG-0002
OAYW,OAHR
OAYW,VNTR
OAYW,ORKK
OAYW,HETB
OAYW,OM-0036
IQ-0055,RKTI
IQ-0055,ID-0088
IQ-0055,TR-0080
IQ-0055,TR-0078
IQ-0055,VCCN
IQ-0055,RKTE
IQ-0055,UTDD
IQ-0055,OASA
IQ-0055,OM-0009
IQ-0055,SG-0004
IQ-0055,VNTH
IQ-0055,HK-0079
IQ-0055,VHHX
IQ-0055,HK-0099
IQ-0055,RK22
IQ-0055,SG-0003
VNNG,VNKL
VNNG,KDW
VNNG,UAII
VNNG,HK-0002
VNNG,BJQ
VNNG,OATQ
VNNG,KZ-0078
VNNG,OAFZ
VNNG,OO42
VNNG,OOSA
VNNG,UTDK
VNNG,HE46
VNNG,RK39
VNNG,HEAR
VNNG,WSAC
VNNG,VCCB
VNNG,TJ-UT45
KZ-0018,OAFZ
KZ-0018,VNTJ
KZ-0018,KW-0016
KZ-0018,VCCB
KZ-0018,LTBC
KZ-0018,SG-0004
KZ-0018,OM-0020
KZ-0018,WSAT
KZ-0018,TJ-UT46
KZ-0018,OAHR
KZ-0018,ID-0077
KZ-0018,TJ-0008
KZ-0018,UASS
KZ-0018,IQ-0035
KZ-0018,TR-0031
KZ-0018,UTDT
KZ-0018,OOII
KZ-0018,WSSS
KZ-0018,VNSL
KZ-0018,VNPK
KZ-0018,RKRN
KZ-0018,KZ-0026
KZ-0018,OASD
KZ-0018,OAMN
KZ-0018,UAUU
KZ-0018,HK-0081
KZ-0019,OM-0023
KZ-0019,WALT
KZ-0019,VCCW
KZ-0019,VNBJ
KZ-0019,KDZ
KZ-0019,WAPC
KZ-0019,OOIZ
KZ-0019,IQ-0047
KZ-0019,OALP
KZ-0019,VNTH
KZ-0019,OOII
KZ-0019,TR-0031
KZ-0019,AF-0001
KZ-0019,RKTI
KZ-0019,BJQ
KZ-0019,LTAD
KZ-0019,OOMS
KZ-0019,KZ-0030
OAGZ,SG-0004
OAGZ,RKPU
OAGZ,KEZ
OAGZ,LTCE
OAGZ,OAYW
OAGZ,KZ-0030
OAGZ,VNDG
OAGZ,RKRN
OAGZ,AF04
OAGZ,WABC
OAGZ,VNDR
OAGZ,IQ-0037
OAGZ,WSAP
OAGZ,ID-0266
OAGZ,KZ-0106
OAGZ,VCCB
KZ-0030,OOMS
KZ-0030,WABC
KZ-0030,OM-0010
KZ-0030,VHHH
KZ-0030,OAGZ
KZ-0030,OAYW
KZ-0030,UAIT
KZ-0030,OOII
KZ-0030,AF-0015
KZ-0030,ID-0139
KZ-0030,HE46
KZ-0030,VCCC
KZ-0030,VNMG
KZ-0030,LTAS
KZ-0030,KZ-0026
KZ-0030,LK-0004
KZ-0030,IQ-0013
KZ-0030,VHSK
KZ-0030,AF04
KZ-0030,ID-0085
KZ-0030,WIOS
KZ-0030,TR-0016
KZ-0030,KZ-0019
KZ-0030,ID-0088
KZ-0031,KR-0611
KZ-0031,VNSB
KZ-0031,UAUU
KZ-0031,AFK
KZ-0031,ID-0266
