AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
OAA,AF,33.922217,69.07794,133
OAMN,AF,35.930801,64.760902,132
OASA,AF,33.12575,68.838517,112
OAHR,AF,34.209999,62.228298,149
OASD,AF,33.3913,62.261002,122
OAFR,AF,32.366667,62.165347,122
OATQ,AF,36.770699,69.531998,146
AF-0006,AF,34.171971,69.035309,141
OAYW,AF,37.563636,70.444496,109
OAFZ,AF,37.122148,70.5201,115
AF-0015,AF,34.49927,70.11921,106
OALP,AF,37.244444,74.251944,109
OAGZ,AF,33.627366,69.237023,116
AF04,AF,30.303216,61.868904,112
AF13,AF,34.778601,67.489557,111
OAQN,AF,34.985472,63.117404,138
AF-0005,AF,33.284605,69.80734,109
OANL,AF,33.739456,66.157408,148
AF-0001,AF,33.485298,67.144096,148
AF07,AF,37.061623,69.487765,141
YPCC,CC,-12.19134,96.833696,104
HEGR,EG,31.078138,34.153131,111
EG-0004,EG,30.194401,33.4128,149
HETB,EG,29.594496,34.775752,140
HE46,EG,30.0276,32.974734,131
HEAR,EG,31.078565,33.836791,129
HK-0063,HK,22.54461,114.21992,148
VHHX,HK,22.320304,114.198074,136
HK-0002,HK,22.298906,114.156815,148
HK-0081,HK,22.34254,114.13185,137
HK-0001,HK,22.380238,114.189835,128
VHHH,HK,22.308901,113.915001,143
HK-0008,HK,22.49456,114.11534,136
VHSK,HK,22.4366,114.080002,141
HK-0079,HK,22.32463,114.19064,140
HK-0099,HK,0.015,0.015,139
WAFM,ID,-2.55803,120.323997,120
WABC,ID,-4.6043,137.6576,140
WASB,ID,-2.1033,133.5164,120
ID-0083,ID,-4.479226,139.649894,109
ID-0139,ID,2.2695,97.9666,128
ID-0011,ID,-8.31015,114.3401,104
ID-0085,ID,-0.5824,110.4728,130
ID-0167,ID,-4.247695,139.168977,128
WI1G,ID,-7.916590213775635,110.56400299072266,140
WIIK,ID,-6.53139019012,107.658996582,119
WIOS,ID,0.063851,111.473572,150
WAWW,ID,-4.08161,122.417999,117
ID-0176,ID,-3.959166,139.901563,137
ID-0062,ID,-3.6799,140.22955,103
ID-0266,ID,-4.21977,139.41273,122
WIDS,ID,-0.47918900847435,104.5790023803711,132
WALT,ID,-0.0929730013013,117.45300293,104
WAPC,ID,-4.5214,129.9054,119
ID-0088,ID,-4.0256,138.2046,129
ID-0077,ID,0.1228,111.4197,128
ORTL,IQ,30.935801,46.090099,102
IQ-0023,IQ,34.44561767578125,44.595306396484375,103
IQ-0036,IQ,33.306409,44.241753,123
IQ-0006,IQ,31.81797218322754,47.07957077026367,118
IQ-0010,IQ,32.831565856933594,40.33956527709961,104
IQ-0035,IQ,31.83498191833496,46.30484008789063,141
ORAT,IQ,33.33810043335,43.597099304199,105
IQ-0013,IQ,36.49066162109375,43.34629821777344,139
IQ-0019,IQ,32.848533630371094,39.31089401245117,138
ORNI,IQ,31.989853,44.404317,132
IQ-0029,IQ,33.591599,44.594937,124
IQ-0052,IQ,34.608257,43.775711,129
IQ-0055,IQ,31.41740226745605,43.1823616027832,137
ORKK,IQ,35.46950149536133,44.348899841308594,135
IQ-0049,IQ,32.29306411743164,44.88743209838867,150
IQ-0047,IQ,30.426825,47.642235,147
IQ-0001,IQ,35.135398864746094,43.72520065307617,102
IQ-0011,IQ,30.646995544433597,44.56970977783203,128
IQ-0037,IQ,35.75707244873047,43.26463317871094,136
IQ-0005,IQ,33.44088,42.913307,141
RK25,KR,37.715263,126.56011,112
RKPU,KR,35.59349823,129.352005005,120
KR-0621,KR,35.42819,128.510084,138
RK95,KR,37.389105,127.954156,130
KR-0064,KR,37.384438,127.94556,132
RKTE,KR,36.568199,127.5,109
RKRN,KR,37.200715,127.469215,103
RKTI,KR,37.03024,127.886353,128
KR-0057,KR,37.879412,126.795731,106
QJP,KR,37.864555,127.176633,121
RK17,KR,38.139645,128.009123,145
