AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
AD-0002,AD,42.544983,1.452258,122
OAA,AF,33.922217,69.07794,149
AF-0001,AF,33.485298,67.144096,137
OANL,AF,33.739456,66.157408,114
AF-0005,AF,33.284605,69.80734,110
OAQN,AF,34.985472,63.117404,106
AF13,AF,34.778601,67.489557,115
AF04,AF,30.303216,61.868904,142
OAGZ,AF,33.627366,69.237023,115
OALP,AF,37.244444,74.251944,117
AF07,AF,37.061623,69.487765,134
AM-0005,AM,40.3712011539,45.0973320007,150
UGEJ,AM,39.823666,45.67327,147
AM-0002,AM,39.450989,46.34724,103
AM-0003,AM,40.0809774791,43.8822698593,148
AM-0009,AM,40.07953,44.60577,114
UDYZ,AM,40.1473007202,44.3959007263,136
AM-0001,AM,39.202272,46.455204,124
UDSG,AM,40.750401,43.859299,122
UD21,AM,40.294102,44.564602,111
AM-0006,AM,40.199855,45.777111,111
NSFQ,AS,-14.215622,-169.424254,115
TAV,AS,-14.23178,-169.51101,137
NSAS,AS,-14.1844,-169.669998,120
NSTU,AS,-14.331,-170.710007,147
DFEK,BF,12.166999816894531,-0.3000000119209289,144
DFEB,BF,12.982999801635742,-0.1669999957084655,122
DFET,BF,11.801149,-0.371377,137
DFOU,BF,10.949999809265137,-3.25,101
DFEL,BF,12.464046,1.492939,145
DFOR,BF,10.986103,-4.924793,144
DFER,BF,11.597000122070312,1.4830000400543213,122
DFOF,BF,12.149999618530272,-3.183000087738037,136
DFCR,BF,11.616999626159668,-2.75,136
DFCY,BF,12.949999809265137,-2.282999992370605,109
VQBT,BT,27.5622,90.7471,136
VQPR,BT,27.4032,89.424599,112
VQ10,BT,27.25627,91.514633,131
VQGP,BT,26.88456,90.46412,134
FBMU,BW,-22.268095,20.031092,119
FBMN,BW,-19.97260093688965,23.431100845336918,111
BW-0013,BW,-22.6079,24.7897,131
BW-0061,BW,-24.683001,25.933001,102
FBOM,BW,-19.0175,22.703,105
BW-0020,BW,-25.198058,25.721603,103
FBNT,BW,-20.216100692749023,26.158899307250977,114
FBCM,BW,-19.541,22.591,138
FBTS,BW,-26.034524,22.401252,114
BW-0043,BW,-19.329429,24.841567,101
CD-0035,CD,-6.570868,22.647285,133
FZUR,CD,-6.933,22.0,130
FZQJ,CD,-10.756564,27.215524,100
FZEM,CD,-4.683000087738037,18.21699905395508,121
CD-0010,CD,1.348012,29.080458,139
FZBE,CD,-3.5999999046325684,17.783000946044922,112
FZDR,CD,-1.24741,22.00784,108
FZQV,CD,-8.645000457763672,27.34499931335449,121
FZKJ,CD,2.818058,24.793997,145
FZSD,CD,-9.715488,22.929325,111
DIYO,CI,6.9031701088,-5.36558008194,120
CI-0001,CI,5.17544,-3.47049,103
DIDB,CI,5.351385116577148,-4.4034576416015625,101
DISP,CI,4.746719837188721,-6.660820007324219,109
DIBK,CI,7.7388,-5.07367,137
DISG,CI,7.96,-6.644167,145
DIGL,CI,6.534711,-7.526847,109
DITN,CI,8.2934,-7.674,149
DIBI,CI,9.540571,-6.469831,107
DIFK,CI,9.592774,-5.23344,133
NCMR,CK,-19.842501,-157.703003,123
NCPY,CK,-9.01436996459961,-158.03240966796875,104
NCAT,CK,-19.96780014038086,-158.11900329589844,123
NCMN,CK,-19.269152,-158.959408,145
NCAI,CK,-18.8309,-159.764008,142
NCPK,CK,-10.9145,-165.8393,125
NCMG,CK,-21.89598655700684,-157.9066619873047,137
NCRG,CK,-21.2027,-159.806,106
NCMK,CK,-20.13610076904297,-157.34500122070312,121
NCMH,CK,-10.376700401306152,-161.0019989013672,119
SKRH,CO,11.5262,-72.926,120
SKUB,CO,3.2375,-74.347222,108
SK-235,CO,2.734167,-75.331944,110
SKSF,CO,6.500631,-75.822521,146
SK-023,CO,7.335227,-75.613747,127
SK-280,CO,3.893333,-73.176667,150
SKAN,CO,5.69764,-75.88038,140
SKOL,CO,4.089869,-72.976483,131
SKMJ,CO,11.3899,-72.239197,141
SK-355,CO,3.146667,-73.771111,120
DAON,DZ,35.013426,-1.457191,111
DAAF,DZ,27.0624,1.1111,145
DZ-0011,DZ,29.80322,0.60902,135
