AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
AD-0002,AD,42.544983,1.452258,115
LAKV,AL,40.77190017700195,19.901899337768555,108
LASK,AL,42.089361,19.509111,130
LAKO,AL,40.651741,20.741715,142
LASR,AL,39.876113,20.037663,107
AL-0010,AL,40.6114,20.7852,136
LAGJ,AL,41.895199,19.5987,113
LAVL,AL,40.476101,19.474199,129
LATI,AL,41.4147,19.7206,144
AL-0003,AL,40.601737,19.432712,116
LAKU,AL,42.035802,20.415955,149
AL-LA10,AL,40.085383,20.15389,123
DE-0354,AT,47.93474,14.350854,110
LOLF,AT,48.513748,14.406579,138
LOSM,AT,47.131995,13.695867,138
LOIR,AT,47.470897,10.6913,147
LOWG,AT,46.9911,15.4396,145
LOGW,AT,47.170293,15.664468,107
X-VIE,AT,48.2244,16.5082,149
AT-0013,AT,47.47909,9.60508,110
LOWK,AT,46.642502,14.3377,119
LOIA,AT,47.449756,12.396033,106
LOLC,AT,47.898602,13.9394,137
LOGG,AT,47.146654,16.317058,101
LOIJ,AT,47.5201,12.4497,119
LOAA,AT,48.4189,15.215661,136
LOAT,AT,47.798024,16.558172,143
LOLT,AT,48.050556,14.661944,124
AT-0011,AT,48.6976,16.6598,125
LOLG,AT,48.10332,14.951091,145
AT-0002,AT,47.7347054331,13.4438323975,112
LOAD,AT,48.160081,15.58677,104
BY-0045,BY,54.103559,28.577714,137
BY-0016,BY,54.30052,30.948463,144
BY-0039,BY,51.6114,29.9808,140
BY-0012,BY,55.160995,29.974589,115
BY-0004,BY,55.6082992554,28.6783008575,106
BY-0022,BY,53.68874,27.339573,144
UMDU,BY,53.598206,24.763414,149
UMGG,BY,52.527000427246094,31.016700744628903,119
UMMG,BY,53.60200119018555,24.053800582885746,143
BY-0009,BY,53.877,25.377,138
BY-0030,BY,52.75557,24.462681,107
UMII,BY,55.126499176025,30.349599838257,150
UMMR,BY,53.303,24.369,136
BY-0001,BY,54.439999,30.2967,150
BY-4247,BY,52.30500030517578,31.163299560546875,102
UMNM,BY,53.945,30.244,122
BY-0041,BY,53.830978,27.376385,134
BY-0019,BY,53.598206,24.9719,127
BY-0015,BY,55.144536,26.829358,142
BY-0006,BY,52.5569992065,24.8840007782,123
CZ-0158,CZ,49.7220654,18.3749167,104
LKHD,CZ,50.6572,15.0778,132
LKMK,CZ,49.798302,16.687799,141
CZ-0054,CZ,50.641667,14.541389,121
CZ-0126,CZ,50.184305,15.166551,100
CZ-0185,CZ,50.59624,15.48122,126
LKSU,CZ,49.960602,17.017799,131
LKMB,CZ,50.3983,14.8983,106
CZ-0145,CZ,51.008731,14.343853,127
CZ-0073,CZ,49.435539,16.593046,123
LKHV,CZ,49.848099,13.8935,140
CZ-0057,CZ,49.12821,14.17325,129
CZ-0153,CZ,49.6527778,18.3458333,145
LKJI,CZ,49.419399,15.6353,109
LKVP,CZ,50.4678,16.205601,127
LKBA,CZ,48.790439,16.892531,111
CZ-0122,CZ,49.824177,16.194713,146
LKCM,CZ,49.236698,16.555,133
CZ-0192,CZ,49.97728,16.184921,141
CZ-0079,CZ,49.974444,14.649167,117
ETHB,DE,52.2785,9.08217,139
EDRI,DE,49.141666,8.394722,134
EDGB,DE,50.676387786865234,8.16944408416748,149
DE-0271,DE,53.4561,9.8317,130
DE-0353,DE,51.007235,12.814543,129
DE-0313,DE,48.0445,9.0314,127
EDFB,DE,50.337973,8.878984,146
